ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0223,9.0216,4.2698,-0.059,8.5625,4.7802,0.2308,0.3915,-0.6088,-0.129,0.2626,-0.0597,1.0128,-36.65,-3.66,15.13,112.76,-60.83,0.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,17,2020-09-22 19:19:42:638
-0.1289,8.7992,4.404,-0.2707,8.4581,4.9555,0.1768,0.5769,-0.467,-0.129,0.2626,-0.0597,1.0128,-36.65,-3.66,15.13,112.76,-60.83,0.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,117,2020-09-22 19:19:42:738
-0.185,8.2393,4.6846,-0.2588,8.4352,4.9951,0.1415,0.2257,-0.5683,-0.0819,-0.0301,-0.0016,0.844,-36.59,-3.77,13.14,112.27,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,217,2020-09-22 19:19:42:838
-0.4266,8.8621,5.0556,-0.2588,8.4352,4.9951,0.1415,0.2257,-0.5683,-0.0373,-0.1218,-0.0259,0.844,-35.41,-3.67,14.18,114.53,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,317,2020-09-22 19:19:42:938
-0.4266,8.8621,5.0556,-0.1502,8.4247,5.0172,-0.2614,0.4205,-0.5473,-0.0373,-0.1218,-0.0259,0.6752,-35.41,-3.67,14.18,114.53,-59.33,2.97,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,417,2020-09-22 19:19:43:038
0.2653,8.7554,4.4622,0.0647,8.4651,4.9506,-0.4361,0.4041,-0.3908,-0.028,-0.2529,0.0146,0.6752,-35.75,-3.71,15.15,114.04,-59.21,1.71,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,516,2020-09-22 19:19:43:137
0.3125,8.7629,4.8447,-0.0088,8.522,4.8524,0.5253,-0.2689,0.0756,0.1458,-0.1485,-0.1645,1.1816,-35.12,-4.24,15.46,112.49,-59.68,-0.75,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,617,2020-09-22 19:19:43:238
0.3125,8.7629,4.8447,-0.0088,8.522,4.8524,0.5253,-0.2689,0.0756,0.2639,-0.2282,-0.1066,1.1816,-34.68,-4.31,16.86,115.67,-60.34,0.1,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,717,2020-09-22 19:19:43:338
-0.2576,8.7389,3.8859,-0.0116,8.6792,4.5653,0.214,0.0294,0.0811,0.2639,-0.2282,-0.1066,0.844,-34.68,-4.31,16.86,115.67,-60.34,0.1,2.0,0.0,12.354829,76.59646,2196.2,NaN,0.0,23.199495,,13 / 42,817,2020-09-22 19:19:43:438
-0.326,8.897,4.365,0.0389,8.7161,4.4942,-0.0673,0.0673,-0.2222,-0.0469,-0.0409,0.0188,0.844,-33.02,-3.31,18.12,117.84,-62.26,0.15,2.0,0.0,12.354837,76.59647,2198.95,NaN,2.92,20.075716,118.6,13 / 42,917,2020-09-22 19:19:43:538
